00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
bằng chân	(cũng Bằng chân như vại, bình chân như vại) Remain unconcerned (while others are in distress)
chien chien	(noun) Skylark (chim)
chien chien	(noun) Skylark (chim)
cuu han	(noun) Enemy
cuu han	(noun) Enemy
dong gop	to donate; to contribute; to devote; contribution
dong gop	to donate; to contribute; to devote; contribution
dể ngươi	(verb) to disregard
dể ngươi	(cũ hoặc địa phương) Think little of, slight; Easy
dể ngươi	(verb) to disregard
gun ghe	Try to make approaches to a girl
gun ghe	Try to make approaches to a girl
him him	Be unable to open wide (nói về mắt)
hung ac	(adj) cruel, ferocious, bnetal
hung ac	(adj) cruel, ferocious, bnetal
lãnh đạo	(verb) to lead; to guide; to conduct
lãnh đạo	(verb) to lead; to guide; to conduct
ne ha	(verb) to mind
ne ha	(verb) to mind
nguy hiem	(adjective) dangerous; risky; perilous; awkward
nguy hiem	(adjective) dangerous; risky; perilous; awkward
nhem nhem	Without giving one's mouth a rest
nhem nhem	Without giving one's mouth a rest
phan hoi	Association branch
phan hoi	Association branch
quen le	Fall into the habit of
quen le	Fall into the habit of
sang ngay	như sáng mai
sang ngay	như sáng mai
tan lang	(noun) (cũ) newly, married man
tan lang	(noun) (cũ) newly, married man
tinh gian	(verb) to streamline
tinh gian	(adj) streamline
tinh gian	(verb) to streamline
tinh gian	(adj) streamline
binh huong	Censer, incense-burner
binh huong	Censer, incense-burner
bán công khai	Semi-public, semi-official
bằng chứng	(noun) Evidence, proof, exhibit
chien cong	(noun) Feat of arms
chien cong	(noun) Feat of arms
cuu khang chien	Former resistance member,
cuu khang chien	Former resistance member,
dong hinh	(tâm lý) Dynamic stereotype
dong hinh	(tâm lý) Dynamic stereotypebanh tay	(noun) Small cylindric glutinous rice cake (filled with green bean paste and lard)
gun gut	như gùn
gun gut	như gùn
hung bao	Atrocious, violent
hung bao	Atrocious, violent
lãnh địa	(noun) fief
lãnh địa	(noun) fief
mong menh	Limitless, immense
mong menh	Limitless, immense
ne loi	Have a [high] regard for (somebody's words, recomendations)
ne loi	Have a [high] regard for (somebody's words, recomendations)
nhem nhem nhem	xem nhem
nhem nhem nhem	xem nhem
phân liệt	Split, divide
phân liệt	Split, divide
quen lung	như quên bẵng
quen lung	như quên bẵng
sang nghiep	Found (a dynasty)
sang nghiep	Found (a dynasty)
tan loan	(adj) helter skelter
tan loan	(adj) helter skelter
uy nghi	(adj) majestic
địa điểm	(noun) point; locationbam vam	(verb) To chop up
địa điểm	(noun) point; location
bán cấp	(y học) Subacute
bằng cấp	(noun) Diploma
can viet	(noun) penholder
can viet	(noun) penholder
chien cu	(noun) War material
chien cu	(noun) War material
dễ bảo	docile; obedient
dễ bảo	docile; obedient
gung	(noun) (bot) ginger
gung	(noun) (bot) ginger
ne long	Spare (somebody's feelings)
ne long	Spare (somebody's feelings)
nguy nga	(adj) splendid; magnificent
nhem nhep	Sticky, slimy
nhem nhep	Sticky, slimy
phân loài	(sinh học) Subspecies
phân loài	(verb) to classify, to distribute
phân loài	(sinh học) Subspecies
ron ren	(verb) to walk on tiptoe
ron ren	(verb) to walk on tiptoe
sang ngoi	(noun) bright, brightly light
sang ngoi	(noun) bright, brightly light
uy phong	(adj) venerably imposing
địa đạo	(noun) tunnelbam vien	Thịt băm viên + Patties of minced meat
địa đạo	(noun) tunnel
bán cầu	(noun) Hemisphere
bằng cớ	(noun) Evidence, proof
chien cuoc	(noun) War situation, war complexion
chien cuoc	(noun) War situation, war complexion
cuu thoi	(noun) old time; former time
cuu thoi	(noun) old time; former time
dong hoc	Kinetics
dong hoc	Kineticsbanh te	(noun) Rice cake (filled with browned onion)
dễ bể	fragile; brittle
dễ bể	fragile; brittle
guoc	(noun) wooden shoe; wooden clog
guoc	(noun) wooden shoe; wooden clog
lão bà	(noun) old lady
lão bà	(noun) old lady
mong moc	xem mốc (láy)
mong moc	xem mốc (láy)
ne mat	Have regard for
ne mat	Have regard for
nhem nhua	Soiled sullied
nhem nhua	Soiled sullied
quen minh	Be self-sacrificing
quen minh	Be self-sacrificing
tan lui	(verb) to wither, to become doued up
tan lui	(verb) to wither, to become doued up
tinh hoa	(noun) quintescence, genius, cream, flower
địa đầu	Border area (of two localities)ban	(noun) Time; (y học) Rash; Ball; (thực vật) Bauhinia; Shift
địa đầu	Border area (of two localities)
binh khang	Xóm bình khang The licenced quarters
binh khang	Xóm bình khang The licenced quarters
bằng cứ	(verb) To rely on the strength of, to base oneself on
chien dau	(verb) To fight, to combat, to struggle, to militate; chiến địa
chien dau	(noun) Battlefield
chien dau	(verb) To fight, to combat, to struggle, to militate; chiến địa
chien dau	(noun) Battlefield
cuu tinh	(noun) Salvation; salviour
cuu tinh	(noun) Salvation; salviour
dong kho lanh	Lyophylization
dong kho lanh	Lyophylization
dễ chịu	(adj) agreeable; comfortable; cosy
dễ chịu	(adj) agreeable; comfortable; cosy
giao keo	Contract
giao keo	Contract
guoc chan	(ddo^.ng) Artiodactyl
guoc chan	(ddo^.ng) Artiodactyl
khi dot	(cũng nói) khỉ độc Gorilla
khi dot	(cũng nói) khỉ độc Gorilla
lão bộc	(noun) old servant
lão bộc	(noun) old servant
ne nang	như nể nang
ne nang	như nể nang
nhem nhuoc	Smeared all over
nhem nhuoc	Smeared all over
phan lan	(nông nghiệp) Phosphat fertilizer
phan lan	(nông nghiệp) Phosphat fertilizer
phân loại học	Taxonomy, systematics
phân loại học	Taxonomy, systematics
quen mui	Relapse from force of habit
sang quac	Dazzlingly shining, flashing
sang quac	Dazzlingly shining, flashing
tinh hoan	(noun) testicle
tinh hoan	(noun) testicle
địa đồ	Mapban an	Như ban ơn
địa đồ	Map
binh khi	(noun) Weapons
binh khi	(noun) Weapons
bán dẫn	(adj) Transistorized, semi-conducting
bằng hữu	(noun) Friends
chien dich	(noun) Campaign, movement
chien dich	(noun) Campaign, movement
chú dẫn	Note and quotation
chú dẫn	Note and quotation
cuu trao	(noun) previous dynasty
cuu trao	(noun) previous dynasty
dong khung	(verb) to enframe, to circle, to enclose
dong khung	(verb) to enframe, to circle, to enclose
giao ket	(ít dùng) như kết giao
giao ket	(ít dùng) như kết giao
guoc le	(ddo^.ng) Perissodactyl
guoc le	(ddo^.ng) Perissodactyl
khi gia	Old monkey! (tiếng rủa của người có tuổi)
khi gia	Old monkey! (tiếng rủa của người có tuổi)
lão giáo	(noun) Faoism
lão giáo	(noun) Faoism
mong mong	xem mỏng (láy)
mong mong	xem mỏng (láy)
mong mong	xem mọng (láy)
ne nep	như nền nếp
ne nep	như nền nếp
phan lap	Separate (powers)
phan lap	Separate (powers)
phân ly	(verb) to separate, to divide
phân ly	(verb) to separate, to divide
quen net	Have the bad habit of
quen net	Have the bad habit of
sang ro	Full daylight; broad daylight; Self-evident
sang ro	Full daylight; broad daylight; Self-evident
địa ốc	(từ cũ) Real estateban bac	(verb) To discuss, to deliberate, to consult, to exchange views on
địa ốc	(từ cũ) Real estate
binh kho	(từ cũ, nghĩa cũ) Arms depot, military depot
binh kho	(từ cũ, nghĩa cũ) Arms depot, military depot
bán khai	(adj) Half-civilized
bằng không	Otherwise, [or] else; It's a mere waste of efforts; it's just labour lost
chien ham	(noun) Warship
chien ham	(noun) Warship
chú giải	Như chú thích
chú giải	Như chú thích
cuu tro	(verb) to relieve; to help
cuu tro	(verb) to relieve; to help
dong kich	Act a part (in a play); Put on an act
dong kich	Act a part (in a play); Put on an act
dễ coi	comely; agreeable to see
dễ coi	comely; agreeable to see
guom	(noun) sword
guom	(noun) sword
guom	(verb) to crowl, to glower
guom	(verb) to stop; to wait a while
lão hóa	(động từ) to get old; to age
lão hóa	(danh từ) ageing, aging (sự lão hóa)
lão hóa	(động từ) to get old; to age
lão hóa	(danh từ) ageing, aging (sự lão hóa)
mong muoi	Foggy, misty, hazy
mong muoi	Foggy, misty, hazy
sang ruc	(adjective) bright, blazing
sang ruc	(adjective) bright, blazing
tan nat	(adj) in pieces, in mins
tan nat	(adj) in pieces, in mins
uy the	(noun) power and influence
uy the	(noun) power and influence
địa ốc ngân hàng	(từ cũ) Land-bankban bach	Very poor; in reduced circumstances
địa ốc ngân hàng	(từ cũ) Land-bank
bán kính	(noun) Radius
bằng lòng	(adj) Satisfied, content, agreeable
can xung	Proportionate
can xung	Proportionate
chien hao	(noun) Combat trench, fighting trench
chien hao	(noun) Combat trench, fighting trench
cuu truyen	(noun & verb) to stick to
cuu truyen	(noun & verb) to stick to
dong lan	(văn chương) East neighbourhood, orient neibourhood
dong lan	(văn chương) East neighbourhood, orient neibourhood
guom giao	như gươm dao
guom giao	như gươm dao
lão luyện	(adj) expert; experienced
lão luyện	(adj) expert; experienced
mong muon	Want, desire
mong muon	Want, desire
ne vi	như nể nang Have consideration for
ne vi	như nể nang Have consideration for
nguyen am	(danh từ) vowel; vowel sound
nguyen am	(danh từ) vowel; vowel sound
phân lũ	Diverge (deflect) freshets
phân lũ	Diverge (deflect) freshets
quen tay	Skilled
bán kết	(noun) Semi-final
bằng như	(tiếng địa phương) If; otherwise
chien huu	(noun) Comrade-in-arms
chien huu	(noun) Comrade-in-arms
cuu tuyen	(noun) (fig) Hell; hades
cuu tuyen	(noun) (fig) Hell; hades
dong loa	Accomplice; to be party to
dong loa	Accomplice; to be party toban tron	Round-table
dễ dãi	(adj) easy-going; accommodating
dễ dãi	(adj) easy-going; accommodating
guom guom	xem gườm (láy)
guom guom	xem gườm (láy)
hung do	Thug; hooligan
hung do	Thug; hooligan
lão suy	(adj) senile; decrepit
lão suy	(adj) senile; decrepit
needly	(verb) to solder; to weld
nguyen canh	Present state of exploitation; present exploiter (of land)
nguyen canh	Present state of exploitation; present exploiter (of land)
quen than	Inveterate
quen than	Inveterate
rong choi	(verb) to wander
rong choi	(verb) to wander
sang sang	xem sáng (láy)
sang sang	xem sáng (láy)
sang sang	(adj) sonorous
tan ngu	(noun) object
tan ngu	(noun) object
tinh khiet	(adj) pure, clean
tinh khiet	(adj) pure, clean
tu mi	(noun) mustache and hair
uy tin	(noun) prestige
uy tin	(noun) prestige
binh lang	(adj) Quiet; Quiet and peaceful
binh lang	(adj) Quiet; Quiet and peaceful
bằng nào	To what extent, how
chien khu	(noun) Strategic war theatre; Base
chien khu	(noun) Strategic war theatre; Base
cuu xet	(verb) to consider
cuu xet	(verb) to consider
dong mach	Artery
dong mach	Arterybanh tet	(noun) Cylindric glutinous rice cake (filled with green bean paste and fat pork)
dễ ghét	abominable; execrable
dễ ghét	abominable; execrable
giao long	(từ cũ; nghĩa cũ) như thuồng luồng
guong	(noun) reel ; reeling-machine
guong	(noun) reel ; reeling-machine
guong	(noun) mirror; glass; looking-glass
guong	(adj) strained; forced; unnatural; reluctantly
guong	(verb) to strain; to make efforts
hung du	(adj) ferocious, fierce; cruel
hung du	(adj) ferocious, fierce; cruel
lè nhè	(adj) to be drawling
lè nhè	(adj) to be drawling
nguyen chat	(adj) pure; fine
nguyen chat	(adj) pure; fine
nhen	Kindle, light
nhen	(ít dùng) Prompt and nimble
nhen	(noun) spider
phân lớp	(sinh học) Subclass
phân lớp	(sinh học) Subclass
quen thoi	have the habit of
quen thoi	have the habit of
sang say	Sift and winnow
sang say	Sift and winnow
tan nhan	(adj) heartless, ruthless
tan nhan	(adj) heartless, ruthless
binh linh	Soldier, troops (nói khái quát)
binh linh	Soldier, troops (nói khái quát)
bán mạng	At the risk of one's life
bằng phẳng	Even and flat
chien loi pham	(noun) War booty
chien loi pham	(noun) War booty
dong nghia	(adj) Synonymous
dong nghia	(adj) Synonymousban trua	Midday, noon, at noon
dễ gì	Not easy, not sure
dễ gì	Not easy, not sure
giao luong	Deliver cereals to state barns
giao luong	Deliver cereals to state barns
guong day	(verb) to try to get up; to pick up
guong day	(verb) to try to get up; to pick up
lèn	(verb) to stuff; to cram; to ram in
lèn	(adj) stealthy; furtive; sneaky
lèn	(verb) to go up; to come up; to rise
lèn	(verb) to make one's way
lèn	(noun) wool
nguyen dang	Original form
nguyen dang	Original form
phân minh	Definite, clear-cut
phân minh	Definite, clear-cut
quen thuoc	Acquainted for long, familiar, of an old acquaintance
quen thuoc	Acquainted for long, familiar, of an old acquaintance
rong huyet	(noun) menorrhagia
rong huyet	(noun) menorrhagia
sang so	(verb) to shift gear, to change up
sang so	(verb) to shift gear, to change up
tan nhang	(noun) (xem) tàn hương
tan nhang	(noun) (xem) tàn hương
thu xep	(verb) to arrange, to settle
thu xep	(verb) to arrange, to settle
binh luan	(verb) To comment on
binh luan	(verb) To comment on
bán nam bán nữ	(noun) Bisexul
bằng sắc	(noun) Royal diplomas and certificates
chien luoc	(noun) Strategy
chien luoc	(adj) Strategic, strategical
chien luoc	(noun) Strategy
chien luoc	(adj) Strategic, strategical
dong nghit	Compact
dong nghit	Compact
giao luu	Exchange rellations (trade, cultural...)
giao luu	Exchange rellations (trade, cultural...)
guong ep	Forced
guong ep	Forced
lèo tèo	(adj) scattered; sparse
lèo tèo	(adj) scattered; sparse
mong ngong	Look forwasd to, expect
mong ngong	Look forwasd to, expect
nem don	(thông tục) Taste blows
nem don	(thông tục) Taste blows
Nguyen Du	Nguyễn Du (1766-1820) - a great classical poet - had Tiên Điền (Nghi Xuân, Hà Tĩnh) as native land. Nguyễn Du was descended from a noble mandarin family (his father and his elder brother had been prime ministers of Nhà Hậu Lê), but he himself had to pass through many hardships in the 18th century full of troubles. Famous for writing talent, he only graduated as junior bachelor. In 1802, as a mandarin of Nhà Nguyễn, he was hauntingly worried about the current circumstances. His works were both realistic and romantic. He was the author of Truyện Kiều (a very popular poetic masterpiece), Văn Chiêu Hồn, Bắc Hành Tạp Lục and Nam Trung Tạp Ngâm. World Peace Council classifies Nguyễn Du among+memorable cultural celebrities in the world
Nguyen Du	Nguyễn Du (1766-1820) - a great classical poet - had Tiên Điền (Nghi Xuân, Hà Tĩnh) as native land. Nguyễn Du was descended from a noble mandarin family (his father and his elder brother had been prime ministers of Nhà Hậu Lê), but he himself had to pass through many hardships in the 18th century full of troubles. Famous for writing talent, he only graduated as junior bachelor. In 1802, as a mandarin of Nhà Nguyễn, he was hauntingly worried about the current circumstances. His works were both realistic and romantic. He was the author of Truyện Kiều (a very popular poetic masterpiece), Văn Chiêu Hồn, Bắc Hành Tạp Lục and Nam Trung Tạp Ngâm. World Peace Council classifies Nguyễn Du among+memorable cultural celebrities in the world
